feature,benefit
my smart home to notify me when my carpet needs cleaning,I maintain a clean and healthy environment
the lights in the house to be adjustable,so that if I have a party I can set mood lighting disco balls or lasers to emit from the lighting features that are already in place in my home at the touch of a button
my smart home to switch to a channel on TV and  text me when there is breaking news of great importance,Safety and health awareness 
the windows in my home to adjust to the sunlight or lack of sunlight,if it is too sunny the windows will keep the hot sun out by becoming darker if it is cold the windows will adjust and keep the warm air inside the house
"my smart home to warn me when there is potential damage to the floors, walls or carpet",I effectively maintain the quality of my home
"the smoke detector to alert me to fires, smoke, carbon monoxide in a human voice that tells me where the danger is",I can find the best way to get out of the house call for help and avoid the room that is dangerous 
my smart home to broadcast video to my phone,I can keep an eye on my dog when I'm away
a smart home that alerts me when my pet has left the premises by a tracker that is attached to his collar,I can make sure my pet is safe 
a smart home that alerts my phone when a locked door or window has been opened,I am aware of potential break-ins 
a home that features lights that can be remotely controlled via my smart phone,I can dim or turn on/off lights even when I am not home
a smart home that features vacuum terminals built into the corner of certain corners of the house,I can conveniently sweep without having to use a dustpan
smart home that has a mail receptacle that has sensors to alert me when mail has been delivered,I can promptly retrieve my mail without having to worry about theft
smart home that features door locks that can be remotely locked and unlocked via a passcode on my phone,I can always check my phone to see if the doors are locked
a smart home that has motion sensors that I can program to trigger music/lighting/audio reminders when I enter a certain room,I can benefit from the convenience of not having to turn things on manually and also to remember why I go to certain rooms in the first place
a smart home that have controls that allow me to trigger appliances in the kitchen from my bedroom,when I wake up I can start the coffee or boiling kettle when I turn off my alarm clock
a smart home that features usage statistics that can calculate electric and water output according to room,I can keep track of my energy usage 
"a refrigerator that tells me when my food is about to expire, and makes lists for the items I need",I'll know what I need to buy while I'm at the store by reviewing the data on my smartphone
a central air conditioning unit that automatically orders new air filters for itself when air quality diminishes,I can maximize energy efficiency and air health
"a smart door that communicates with my phone and unlocks itself automatically when I'm next to it, then locks itself once I'm inside",I don't have to fumble around with keys when I'm trying to get into my home and I know it's always secure
"a smart doorbell that notifies me when it's rang, so that I can communicate with the postal worker and sign for my package from my phone, and also give them instructions on where to put the package - perhaps even unlocking the door temporarily for them",I can know that even when I'm away from home my packages are safe
"a smart chair that knows who is sitting in it, then turns on the tv/entertainment system based on that individual's preferences, then turns if off or pauses media when I stand up",I can save energy from my entertainment and also have my preferences loaded instantly when I sit down
"smart plates for food that can determine what type of food I've placed on it, and aggregate nutritional information to be displayed on a smart table while I'm eating",I can prepare healthy meals and keep track of my nutritional intake
"a smart alarm clock that knows my name and talks to me, convincing me to wake up, and reminding me of my appointments for the day that I'm going to be late for Maybe it could talk with my smartphone about how lazy I'm being, and how we go through this every morning",I could be motivated to wake up with ease
"a smart dryer that can determine when my clothes are dry, then turn itself off and send me a notification on my phone",I'm not wasting energy by over-drying my clothes and I'll know when to change loads
smart outlets for my electronics that can be programmed individually to completely cut power on specific electronics when they're not in use,I'll know that I'm not wasting any unnecessary electricity
a smart washing machine that can order its own detergents/supplies when needed,I'll always have laundry supplies without having to think about it
"a smart closet, with smart hangers, that can tell me the last time I wore the clothing that's hanging from a specific rack",I can easily pick my wardrobe for the day
"smart faucets on my sink that monitor the water for pollutants, and alert me if any new threats are found",I can know that I'm drinking clean healthy water
smart floors and furniture that can tell me if a small object is resting somewhere it shouldn't be (like if I couldn't find my keys),I can review where misplaced objects are located and find them
recommendations of new tv shows,i can know what is new
Automatic doors,cool temperature can be kept in during the winter/warm temperature can be kept out without hassle
to know when I am about to fall asleep,I do not watch too much tv
my smart home to let me know the best way to maximize my living space,I can remodel or rearrange my house accordingly  
to know when my kids are leaving the house,I can know what they are up to
my smart home to clean my cats's litter box whenever its soiled,I don't have to breathe in the fumes from the litter box
Automatic lights,all the lights' temperature shade and position can be controlled with an app
to know when my children are not feeling well,i can take them to hospital
an alert when someone drives up to my house,I can put the dogs out back and don't have to listen to all the barking
to know when there is an intruder,I can call the police
my smart home to let me know how money I am saving on Energy,I can keep track of my energy usage
sensor to let me know if there are unpleasant odors and the area they come from,my house always smells good
my smart home to keep track of my food consumption,I can keep track of my grocery shopping
when the plants need to be watered,they can remain healthy
an alert when there is smoke in the house,I can get out
Smart surveillance systems,cameras can be added and looked at on a smartphone while the home owner is away
my smart home to adjust the temperature depending on if someone is home or not,I save energy and money on my gas bill
gas leak,I can get it fixed
electronic windows,I can open the window with my phone when I am not home
my smart home to keep track of my scheldule,I will not be late and know what I have to take care of
Moisture and humidity sensor,I can get the ideal temperature while being able to save the most amount of money
my smart home to keep track of my kids school grades,I can keep up to date with their education
to know when I need to exercise,I can be healthy
when I should go to sleep,I cannot waste time and be healthy
my smart home to remind me of any activities my kids need to go to,I don't forget
built in clocks in the tv's in each room,I will know what time it is when I am watching tv
Automated cleaners,I don't have to worry about cleaning the floor/tiles etc 
an energy feature that tells me when I have used a certain amount of electricity,I can conserve electricity and save money
to know what my children are doing,I can monitor their activities
My smart home to keep me entertained,so that I do not get bored
my washing machine to measure the adequate amount of soap I need and water I need to wash a given load of laundry,save water and save money on water and soap
to turn off the air conditioner when I am away from home,I can save energy
my television to alert me when someone calls the home line,I don't miss a call when I have the TV blasting
my smart home to keep track of my health,I can stay healty
a sensor in the refrigerator that light up the container if food starts going bad,so that there will be no sickness
Controllable applicances,I can control the power supply to all appliances and turn it off in order to save energy
control who my children open the door for when the doorbell rings,they don't inadvertently let in anyone suspicious or undesired
My smart home to help me keep track of what my responsibilities are,I wont forget what I need to do
"my baby's crib to alert me when my infant wakes up, via my iphone or apple watch",I don't have to use a baby monitor
automatic lights,the lights would come on before I came in the house
Automatic music,I can listen to different genre of songs that play at specific times throughout my daily routine
a washer that you can set a timer to start when you are ready,I can have the load start right before I get home so that it doesn't have to sit all day
My smart home to keep track of my pets health,they will remain healthy 
to control what electronic devices my children have access to when I am away from home,their use of electronic devices is in keeping with household rules for safety
my television to turn on and off with the sound of my voice,i don't need to use a remote control
something that would turn on music by the sound of my voice,I won't have to get up to turn it on
Alarm Clock,I can choose from a variety of different sounds that would play in the mornings at a specific time; this alarm clock would also contain specific features that would force me to wake up
my mailbox to lock when it senses the mailman has filled it with mail,no one steals my mail
my iphone to alert me when my dog is distressed/barking via a smart collar,I can check on my dog when I am not home
built in smoke detector and carbon monoxide detector with alarms,I know if something is in the air it will alert me
Automated cookers/crock pots,I can control various appliances and therefore the food I make while I'm not at home using a smartphone app
to be able to set the temperature of my shower water,I can have it hotter or colder
a notification via my phone/smart watch letting me know when my food is ready,I can concentrate on other things and keep the food from burning or cooking to long
sensors that tell me if someone or something leaves my house,I know if my kids are going outside if I am in another room
monitor packages left on my front porch/doorstep,I know if they have been taken by someone other than myself and if so by whom
Smart Beds,I can have improve my sleep quality because of a smart bed that is able to track breathing heart rate movement etc 
to be able to start my car from inside the house,it can warm up in winter time
I want my smart home to sync with my phone such that if I am in danger the police can be notified,I don't need to use my phone to call the police
my air conditioning unit to purify the air in my home and report the air quality,I can ensure my family is breathing healthy air
an oven that comes on at a certain time,I can place my food in the oven and it'll be ready when I get home
my house to alert me by text if motion inside is detected while I'm gone,I can alert authorities to intruders
to receive a text if the fridge is opened,I can monitor what my kids are eating
my phone to alert me if carbon monoxide levels are outside of the normal range,I can ensure that everyone in the house evacuates and is safe
an alert that lets me know when my wi-fi or home internet is accessed,I can monitor who is accessing these when and for what purpose
my television to turn on my favorite shows when I walk in the room,I can proceed with my morning routine
to be alerted if I've gone over an energy usage threshold for heating or A/C,I can make adjustments to save money and energy
a freezer that has an alarm that goes off if the power isn't working,I will know in time to save my stuff
my music player to work in conjunction with the lights,to set the mood for when I am entertaining
an alert when my child is getting close to the oven or places they shouldn't be,I can keep them safe
to receive a preliminary text about the smoke detector before it actually goes off,I can ensure that it isn't just because I'm cooking something in the kitchen
my laundry machine to alert me via phone notification when the cycle is complete,I can use my time to concentrate on other chores and maximize the laundry I can do
a closet that straightens up the coats as we throw them in there,It is more tidy
to receive an alert if I've left the oven or stove on after I've finished cooking,I can make sure that nobody gets burned and so I can save money on energy
"to access emergency contacts at the touch of a button, even away from the home",I can save time in case of an emergency
my dryer to alert me via phone notification when my dryer has completed,I can use my time to concentrate on other chores and maximize the laundry I can do
an alert when my teenager comes home at night,I know they are safe
an alert that lets me know when the refrigerator is left open,I can save energy
to control the temperature of my water heater,I can save energy costs
to receive an alert if it's going to rain and I have a door or window open in my home,I can close the door or window and keep things from getting wet
to be alerted if the water from the faucet contains too many minerals or impurities,I can get it fixed or begin to filter my water from the tap
to be able to turn on the lights in my house when I am not home,I can make it appear that someone is home
my smart home to open for my latchkey kid after school via voice command,my son doesn't have to carry a key
the heat to automatically adjust when people enter or exit a room,I can save energy
bath water temperature to be automatically set to warm ,I do not have a cold shower or burn myself
cameras throughout the home,I can observe who is present before I enter
to be alerted if the fridge and freezer temperatures go outside of a certain range,I can ensure my food isn't going bad due to high temperatures or being frozen due to low ones
a showerhead that alerts me when I use more than an amount predetermined by me,I can save on my utilities and conserve water
to receive an alert if motion is detected on my driveway or front doorstep,I can know that I have visitors and not miss deliveries or packages
to be able to receive a notification via my smart watch/phone when someone or a vehicle enters the driveway,i can know when someone is outside
my smart home to limit my son's internet and video game usage,he doesn't overdo it with the electronics and can spend his time more wisely / go to be at a reasonable hour
an alert automatic locks on the doors,they could all be locked at once
an alert that lets me know when I've left the oven on when not in use,I can prevent a fire and save energy
an alert that lets me know when electric wires are chewed/exposed,I can prevent a fire and/or other danger
TV to turn on when i enter the room and to use voice commands to control it,I can easily relax
self retracting sky lights,sunlight can help to heat the home or prevent it from entering to keep it cool
doors that lock automatically in the evening,I don't ever forget to lock them before bed
my smart home's windows to darken in response to the amount of outdoor light,I save money on my heating/electric bill
automatic lighting,I don't have to always remember to shut lights off when I leave a room
a central heat and air system that knows the weather outside and adjusts itself accordingly,I can save money and enjoy more comfortable inside temperatures
voice activated virtual assistant,I can get up to date on newsweather and sports without checking television or social media
water usuage detection,I can see if any major changes occur
automatic window defrosters,I can see outside when there is bad weather
my smart home to ring a bell at meal times,I don't have to call each and every person separetely
an app that lets me manage my AC/Heater,I can turn it off and on even if I am outside
music that automatically plays when in the shower,I always have good tunes to listen to while getting clean
retracting blinds,my energy usage is reduced
an app that lets me manage my stove/gas,I can turn it off and on even if I am outside
my gate to know who's entering,I can be aware that I know them
a TV that locks itself after it's kids bed time,they can't turn it on even if they try
automatic lights,I never have to mess with light switches again (and save energy in the process)
an app that rings when my vitamins are due,I don't miss them
automatic floor warming,feet don't get cold 
an app that can sense my mood,I don't have to change songs rather it plays songs according to my mood automatically
tiles that absorb the water in washrooms after shower,it is safe to walk in the washroom after taking shower and I don't have to dry it manually
tiles that can sense water,so that I can clean the water right away and no one slips
fingerprint scanner for front door,I don't need keys and to keep burglars away
a refrigerator that tracks how long milk has been inside,I never have to drink sour milk again
lights that starts fading out and then finally turn off if I fall asleep,energy is saved and they are not on till morning
a toilet that senses how much to flush and automatically does that,I touch the toilet less and save energy by appropriate flushing
automatic blind shut,I won't have to get up to shut blinds and people can't see inside
speakers throughout the house that sense which room I'm in and play in the appropriate room,I can have music wherever I go
carpets that can sense when my kid is about to fall,so that he/she doesn't fall on ground rather a carpet appears and he doesn't get hurt
temperature control in each room,unused rooms aren't wasting energy
solar panels to power the whole house,I can save more money on electrical bills
a door lock that can have temporary access codes added that I can share with others,I don't have to lend someone a spare key and the code will expire after a certain amount of time so I can revoke access
automatic sanitized door knobs and faucets,is one less way to get sick
a refrigerator that lets you speak a grocery list and automatically transcribes the items and emails them,you never forget the little things at the store again
an alert system,I can be reminded when my favorite shows are on
sensors,they know where I am in the home and can move music as I move
the lights to turn on when i enter and off when i leave a room,energy is not wasted
my smart home to identify party guests at the door before I open it,can welcome them in a personalized manner
my smart home to block off areas of my house from pet access at specific times of the day,I can sleep peacefully without my cats pawing at me
my smart home to keep track of the quantity of specific ingredients I have,I may be alerted to potential shortages before making a dish
my smart home to be able to order food items I commonly use when I am running short,I don't have to worry about running out of butter or flour or other pantry items
my smart home to regularly track the weight of my animals with a scale hidden at the cat flap,I may be alerted to significant changes in my animal's weight which could suggest health issues
my smart home to verify the identify of my pets before letting them in,I don't have to worry about stray animals entering through the cat flap/door
my smart home to track what items I am removing from the pantry and fridge,I can be more informed of my current food intake
a keyless entry system,I don't have to spend time fiddling with the keys to my home
the ability to track humidity levels in each room of my house,I can take preventative measures against mold growth in areas where mold risk is high
my smart home to keep track of my guests favorite foods,I can be a better host by offering these foods again or similar ones
my smart home to monitor my utility usage and costs,That I can stay on budget for the month
my smart home to notify me immediately if I leave the house without turning off the oven or leave food in too long,I can stay safe and not waste money on burnt food
my smart home to have voice recognition features that allow me to voice active TVs and music,I can entertain my guests more easily
a smart home that notifies me if my pet sneaks out of the house,so that I can make sure they don't wander away and get lost
my smart home to notify me when food and water levels in my pets dishes are low,I can track how much my pets are eating and always make sure I don't leave them without food
I want lights to come on automatically when I am in my backyard or on my deck,I can more easily enjoy these features of my home
my smart home to track my energy usage by the specific environmental impact my different utilities have,I can more efficiently conserve my energy usage in the most beneficial way
my smart home to track different allergens in the air including part hair and dust particles,I can know better when I need to be mare careful about my allergies and those of my guests
my smart home to track when different baby gates have been opened,no one accidentally leaves access to the stairs open for my child 
my smart home to track how much in utilities each occupant uses,we can know how to divide costs of utilities more fairly 
"my kitchen table to tell what to cook for dinner based on my running schedule and what I have on the fridge, and then show me how to cook it",I can save time from going through my fridge and trawling the internet for recipes thus saving me time
my plants to tell me if they need watering,I will water them
my thermostat to detect my body temperature and location in the room,it will heat or cool the room where I am and not the entire house
my bed to detect my sleep patterns,so that it knows when to wake me up based on the quality of my sleep
my family portraits in the living room to be interactive,so that they tell me whether my kids have safely arrived at school or somewhere they should be
an orb lamp that glows the daily ups and downs of my portfolio,"so that I can know in simplest visual terms the swings in my stocks, should I want to"
my smart home to notify me via my smart phone and shows me his picture when he opens the front door,I know that he gets home safely from school
"my tv to determine my mood based on my emails, text, social media postings and phone calls, and day of the month and other factors",so that it can recommend a mood-appropriate show for me
my pet feeder to let me know when the container is empty,I can refill
"my entire house to detect subtle hints of psychological abnormalities, whether depression or unknown genetic defects, that get express through small but still perceptible physical irregular movements",my primary care physician is alerted very early
a smart home to send me a text via my smart phone when it is time to change ac and heater's filters,I can change them on a timely manner
my house to archive where everything is located,so that it knows everything and tells me immediately when I want to know where I'd put my keys or a vacation polaroid I took in 1987 but last seen in 2005
my bread machine to start automatically and be ready in the morning,I can have bread for breakfast
my thermostat to set itself to my ideal temperature when it detects my present,"I can relax knowing the thermostat is not too high or low, and just right for my comfort"
my robotic vacuum cleaner to start automatically twice a week,my house is not dusty
my windows to detect sound waves,so that it will cancel them out with sound waves created by deforming itself
"all devices in my office, that I need for work, to turn on at a specific time",I don't need to go through the process of turning everything on and off when I need to work
my swimming pool to clean itself on a periodic basis,it is always clean
"my lights and tvs to turn on automatically when I am not home, and it detects an intruder","the intruder will think that there is someone home, and it's not safe to break into my home"
"my bathtub to automatically fill, and set itself to hot temperature and add a bubble bath solution at the push of a button","when i am being romantic with my wife, we can head to the tub, without the need for interruption"
a voice activated warning when the energy cost is more than certain amount,I can tell everyone to be careful with their use of energy
"A lawn mower device to automatically cut my grass when it detects it is above a certain height, similar to a roomba vacuum robot","I can relax and focus on the things that are important, like cooking and eating with my family"
my smart home to tell me when my car needs gasoline,I will not run out of gasoline
"an automated cleaning device to get my pool ready when it detects the temperature outside is becoming warm, and automatically test the Ph of the water and apply the necessary chemicals","When I come home from work, I can hop into the pool with my family without having to spend hours cleaning it before hand"
my smart home to inform me when my favorite ice cream is almost gone,I buy more ice cream
a refrigerator and freezer that automatically lets me know when food is about to expire and provides me recipes based on what I have in the fridge and freezer,"I don't have to struggle trying to think about something I can make for dinner that is on hand, and worry about not having a certain ingredient"
"a pantry and cabinets that keep track of my current stock of food, and let me know when I am running low and possibly even order some automatically through a service like amazon for me when I run out","I will always have the necessary pantry items for breakfast, lunch, and dinner, and have less to worry about when I head to the grocery store for fresh items"
"a coffee machine that automatically knows how many people are in my house, and prepare the proper portion of coffee for those people",there is enough coffee for everyone right when we wake up in the morning
my alarm system turns on and off automatically at preset times,I do not forget to turn on the alarm at night
"An all in one device that is capable of washing, drying, and folding my clothes","I can worry about spending more time with my family, and having to worry about more things to do when I get home from work"
My home to be able to monitor time spent per room in my home,I can better monitor my family and their activity habits so that I can form a more cohesive family
To be alerted when certain groceries are used,I can automate my shopping list
My home to alert me to possible damage,I can keep up to date on repairs
To be able to access my home from away from home,I can keep tabs on what is happening
My home to alert me to changing environmental issues,I can keep my family safe
My home to alert me to dangerous situations in my surrounding area,I can keep my family safe
My home to start the self cleaning litter box for me,I don't have to keep tabs on my cat
My kitchen to alert me when I leave an appliance on that shouldn't be,I can keep my home safe
My home to alert me to my favorite shows and DVR them for me when I am not home,I don't miss an episode
My home to monitor my energy usage,I can better use my energy
the ability to monitor my dog's water bowl,I know when it should be filled
to have my plants watered regularly,they live for their maximum lifetime
lights to automatically turn off when I'm not present,I conserve energy efficiently
my television to turn on when my favorite sports team plays,I can watch them immediately when they start
to be alerted when my child starts crying,I can take care of my child more quickly
doors to shut automatically if I leave them open unattended,I can feel better about the cleanliness of my house
coffee to be made every morning at 7 AM,I can leave on time
my gutters to clean themselves when full,our gutters can be clean more
my external doors to automatically lock after 30 seconds,I can feel safe in my home
my oven to clean itself periodically,I can use it more frequently
to be able to play around on softwares between screens around my house,I can work more efficiently
devices to help me prepare food quickly,i can save prep time
a self cleaning litterbox,i don't have to clean it every day
music that moves with me into the next room,i can enjoy music and still hear it well no matter what i am walking around doing
to be able to turn off my stoves ,just in case I forgot to turn it off when I left home
a way to switch what i'm watching on one screen to move to another room,i can pick up where i left off on a movie/etc on another device
my kids activities to be monitor with the help of technology ,I can find out his what is wrong with his habits 
my pool pump to automatically turn on for a set amount of time that I set,my pool stays clean and I don't waste energy by having the pump on for to long
a digital way to view my wardrobe and select pieces to make an outfit and have them brought to me,i can pick an outfit more efficently without trying things on endlessly
I want My bore well to indicate the water ground  level so that it can pump the water automatically when it is required ,water saving 
to open my garage door ,I can save on time and energy
my tv to turn on when my selected show are on,I won't miss my favorite shows
"something that tracks what my body needs nutrition-wise throughout the day by monitoring me every morning, and can alert me when i might be getting sick",i can better take care of myself
"my walls to take the design, color, or pattern of my choosing at any time, selected from my smartphone",I can easily customize my home
to check the purity and quality of my water i use for drinking ,there wont be any health problems
lights and electronics that sense when i've fallen asleep and adjust automatically,i can save energy
my coffee machine to turn on at 6:45 am,my coffee is ready when I get out of bed
an alert to my phone when a package is left on my doorstep,I know to pick it up and will know if it goes missing
to have wifi coffee machines,I can easily brew coffee with an app
doors that open via sensor if my hands are full,i can carry large loads to other rooms more efficiently
my driveway lights to be turned on when sun goes down,when I get home it is safe pulling into my driveway
a device that can mix cocktails and allows me to choose what i want made,i can entertain better
my electricity should be monitored with the help of daily report to my mobile automatically ,i can save energy 
"weekly meal plans to be automatically generated based on my nutritional needs and preferences (as well as those for my family,) and for a shopping list to be generated to obtain needed items",I can always know the best meals to prepare for myself and my family
an alert when my dog is standing by back door,I know that I need to let them out
to control temperature and spray of my shower,so that I can save on energy costs
A big tv in the attic that can move into whatever room I'm in,I could watch tv at any room 
"an inventory to be taken of my groceries and personal items, and a shopping list to be automatically sent to my smartphone","I always have the items I need, and know when I am running out"
my smart home to notify me whenver water is leaking from a faucet,I don't waste water and get a big bill
to monitor my pets health problem automatically with detecting device  ,i can save my pets life
my heated floors to turn on at 6:45 am ,they are heated once I get out of my morning shower
to be able to control the brightness of my rooms and turn off automatically when I leave the room,I can save on energy costs
a machine operated bed ,I could move around while in bed
to be alerted when someone enters my property,I can be aware of someone approaching
"my mail to be automatically taken into the house, and sorted by relevance and type",I can ignore junk mail
to be alerted when my energy usage appropaches an amount I set for the month,I can lower my bill
my kids internet and home works should be monitored with the help of my mobile phones,i can control them from work
A device to wash stove and tables,I wouldnt have to wash
surfaces to automatically detect and report sanitation levels in real time,I know what I really need to clean and when
my smart home's showers to automatically adjust to my desired water temperature,I'm not wasting water or time trying to find it
"a television playlist to automatically be generated from my streaming services, based on likes and recommendations","view a sequence of shows I enjoy, and will enjoy, without lifting a finger"
projected figure to assist me with a click of a remote,i could get any help i need in any room
"a feature to locate commonly misplaced items, phones, glasses, wallets, keys",I can easily locate them
solar windows,I could save energy
to have high resolution and night vision camera for my baby,I know the second my baby is up and moving
an oven that automatically sets the temperature and cooking time,cooking can be optimized
my smart home to have a phrase that my mother can say if she ever needs help,She can easily get assistance if she has a medical emergency
to know how my kids are in their schools and how their classes are going on live,i know how they study 
to be able to check in with my pets via video and voice,I can rest assured that they are okay throughout the day
smart locks,small children cannot get into cabinets
to be able to monitor carbon monoxide levels,it is safe inside the house
face recognizing software,the house would unlock when they see you
LED touchscreen displays,cooking can be optimized
"lights that automatically dim and shut off, after there is no movement in the room for a period of time",I can conserve energy
to play my favorite music wirelessly ,I can enjoy without having to move
my daily purchase of home needs monitored and done automatically with the help of mobile application ,i can save time
"the chore board to be manageable by my smartphone, to send notifications to my children, and to lock them out from certain activities on their smartphones before the chores have been completed and verified by me",the kids do their chores
house cookerchef,the house could make your own food for you 
gourmet recipe banks in the ovens,i never go hungry
my smart home to alert my family when there is bad weather approaching,they can take the necessary steps to stay safe
to listen to the latest NFL scores,I am up to date 
a thermostat that can be controlled from my smartphone,im never cold or hot
voice recognition software,so only I could ask for demands from the house 
optimized lighting system,people think we are home
Handprint recognition on the front door,I wouldnt need keys in case the face recognition isnt working right
light bulbs that double down as speakers,i can listen to music in cool places
to have feedback on my brushing technique,I have healthy teeth
fridge with a built in cooling system,food stays fresh longer
a feature in the fridge that states when we are running low on items,i would know when to buy more
an alarm system that i can monitor anywhere,i can make sure everyone is safe
"my walls to display concert footage, automatically adjust acoustics of the room for optimal sound, and display light effects",I can attend simulated concerts at home
to know the weather condition automatically to my mobile ,i can know how should i travel to my office 
motion sensors,i can track movement
"a virtual inventory of my closet, and daily suggestions for outfits from paid fashionistas online",I know what to wear every day
store and control rain water and water all my plants with the help of technology ,i save water and plants
a feature for dimmed lighting and soft music,I can relax and enjoy my downtime without much effort
"monitoring software that detects nudity, drug use, and foul language and sends me live footage when it occurs",I know my children are safe and behaving
"televisions that are made into the house, without cords showing",there is less mess and less danger for children
"a built in ""SIRI"" like assistant",i can easily organize all events without having to keep up with a planner and ask random questions to
"to be able to lock and unlock my doors from any location, from my phone","i can easily let neighbors in if necessary, or the kids if they've forgotten their key without having to worry about someone finding a hidden spare"
my pet's food and water automatically refilled while I'm away,I can travel without worrying that my pets are fed or thirsty
My smart home to set reminders to start laundry and alerts when laundry is done,I do not forget to do the laundry in order to have fresh clothes
videos that monitor the inside of my home,I can view my teenage child's activities while I'm away on vacation or on business
To be Alerted with a sound when the garage is opened,I can know who is going in and out of the garage
my refrigerator and freezer temperature monitored,"I don't have to worry about food contamination, spoilage or inadequate food storage"
to be alerted when pets leave the home throught the doggy door,I can know what my pets are up to 
to be alerted when the doors leading into my home are opened while I'm away,I wouldn't have to worry about intruders when I travel and am away from my home
my smart home to notify me if the household's carbon footprint is getting too high, we can be more environmentally responsible
 my smart home to automatically refill the pet's water and food bowl through an automated system,I know my pet will be taken care of in the event that no one is home or someone has forgotten to feed them
the temperature automatically adjusted inside my home when there are external changes in temperature to compensate,I can be comfortable without having to adjust temperatures manually
my smart home to shut off lights when I leave the room,I can save on my energy bill
 I can remote activate anything even not in the kitchen,Energy
the door to record the time of day or night it is opened,I can know what time my teenager comes home without having to stay up for him or her
my smart home to control water intake by alerting me when I go above my set use,I can save on the water bill and help the environment 
 The oven to talk with basic information,Cooking can be done properly
air purity controller,it detects pollution and sensors get active
to know when my kids come home by alerting me,I know where my kids are
"my elderly parent's vital signs monitored, for example heart rate, how long the person has been sitting, lying down or immobile",So that I can be alerted if something happened to them while I'm at work
"to be able to voice activate lights, television, radio in my home",I don't have to get up when I am in pain
" Room thermostat sensor,",The room is optimal temperature for an occupant 
my smart home to automatically turn on the sprinklers and water the lawn in conjuction with my mobile devices,I can set timers from anywhere and take care of my garden
"my smart phone to come with an app that whenever someone rings the doorbell, I can see on my phone, tablet, computer a picture/video of who it is from anywhere in the house,", we can know who is at the door more securely and be ahead of any possible problems
to be alerted when I am running low on specific common food items either in my fridge or cupboards,I don't have to constantly update a grocery list but can rely on preprogrammed settings instead
"My smart home to capture a picture and alert me via a specific sound and a text message via mobile phone when a vehicle enters my driveway,",home and/or vehicle-related thefts can be minimized either when we are home or are not
to have logs of when someone steps onto my property via sensors,I know if someone is coming and going
the temperature in my home to be monitored inside and outside the home and compare it to temperature settings,I can monitor any deficiencies in insulation in my home and rectify them
Retina scan for front door, Nobody else can get in
my smart home to make reccomendations of the up to date (new) movies that I may enjoy and remind me of shows I have recorded on my dvr,I can keep up to date on my media
to lower and raise the volume on my TV verbally from any room in the house,I can save time and physical energy
my smart home to alert me when it is time for a meal,I can keep up with a consisting meal schedule
" my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each night and each day,", I do not have to manually adjust these items each evening
my smart home to alert me via a specific sound and a text message via mobile phone when a personal parcel package is delivered to my door,parcel package-related thefts can be minimized either when we are home or are not
Room thermostats,Protect the room temperature
regulate my bore well motor,Monitor the start and stop the motor running automatically
Smoke identifier ,save the unwanted fire 
floor heating controller,Maintain the floor temperature and good for human life
Switch on all electric goods during enter the room,Automatic all electric equipments
"my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each ",easy open and close
Automatic fan regulation,when enter the room and sit down more than 5 min
wall mount transmitter,Automatic  regulate the transmitter
daily syllabus to be studied with systematic alerts,easy to teach the students
it to check each room and turn off lights if a person is not in the room,save the electricity
to regulate the motor ,it is very useful for save the water and electricity
schedule the home work,very lot of work give importance and get low marks to get alert
To stop the burner,complete the cook then stop the burner automatically
increase the heart beat,to ensure the health fitness
to regulate the pressure,easy to maintain the health problem
to know the weather,when the rain come and light is high
I know when the shift work to me,easy to maintain the working purposed without failure
maintain the working hours arrange the good teacher for free students,increase the good result for the school
"my smart home to have all the photographs and voices of the people that I want to visit my home recorded and a special tone to be assigned to them when the doorbell rings,", that unwanted visitors can be avoided
my smart home to send an alert to my phone when my children cut any electronics on after 10 pm,energy can be saved and I can monitor their computer usage
all water temperatures to be pre-programmed and controlled by a voice sensor,the temperatures are safe for children to use
my smart home to alert me to when my child starts to exhibit signs of an asthma attack by flashing a red light with a human voice alert,I can be aware if I am in another room that my child is sick
my smart home to control the volume after 10pm by automatically turning it down low if it is too loud,my neighbors don't complain about the music playing too loud
my smart home to program the shower stall to cut the water off after 3 minutes in the shower,I can save energy and money by taking shorter showers
my smart home to preheat my oven and turn on my coffeemaker at 7:00 am,I can save time preparing food in the morning
my smart home to automatically play the parents voice blended with soothing music when it is time for the baby to take a nap,the baby adheres to their napping schedule
my smart home to sort through the trash at certain intervals and extract recyclables from the trash,all trash is separated and recycled
a smart home that responds to my voice when I ask for weather and traffic updates by relaying the information through a human-like voice,I can automatically know how much time I have to get to work and what to wear
my cat's food bowl to automatically fill itself when empty or it is time to feed my cat and to seal when the cat is not eating,"my cat's food does not go bad, and so it doesnt go hungry"
My shower to be cleaned with a device once per week,The shower stays nice and clean
my house thermostat to decrease when I am sleeping,I save on heating bills
